n,time_ms,first,last
1024,0.00096,0.680375,13.8251
2048,0.003221,-0.639727,-16.1661
4096,0.00735,0.548714,-24.8793
8192,0.01656,-0.663308,-47.2383
16384,0.033841,-0.305501,-12.5575
32768,0.081001,0.0579758,3.06656
65536,0.142892,0.225206,56.8033
131072,0.282924,-0.486593,27.838
262144,0.562368,0.433431,135.138
524288,1.13875,-0.717972,-142.447
1048576,1.67313,-0.146374,-243.747
2097152,2.86661,0.94133,341.783
4194304,5.33216,0.146774,441.3
8388608,10.1777,-0.204703,395.516
16777216,19.9079,0.798095,-792.68
33554432,39.2914,-0.664771,2601.13
67108864,78.2791,0.426871,158.191
134217728,137.229,0.429592,-7552.51
268435456,312.313,0.327338,19923.3
536870912,564.62,0.74094,3623.78
1073741824,1247.43,-0.137217,-24700.7
