n,block_dim,int_ms,float_ms,double_ms,int_C0,int_Clast,float_C0,float_Clast,double_C0,double_Clast
32,16,0.009088,0.008192,0.008192,662,626,662,626,662,626
64,16,0.008192,0.008192,0.011264,1226,1286,1226,1286,1226,1286
128,16,0.011168,0.01024,0.02352,2290,2356,2290,2356,2290,2356
256,16,0.026624,0.026624,0.10048,5050,6210,5050,6210,5050,6210
512,16,0.141312,0.140288,0.6912,11222,10466,11222,10466,11222,10466
1024,16,1.02576,1.02125,5.3463,20426,20966,20426,20966,20426,20966
2048,16,7.57056,7.61034,39.9152,36850,37876,36850,37876,36850,37876
4096,16,70.8853,71.4156,317.435,81850,100290,81850,100290,81850,100290
8192,16,664.188,663.185,2537.5,180182,167906,180182,167906,180182,167906
16384,16,5552.43,5571.65,20380.6,327626,335846,327626,335846,327626,335846
